"",brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
33,BMW,2010,1000000,60000,Diesel,Individual,Automatic,1,16.730,1995.000,218.000,5.000
34,BMW,2013,2000000,60000,Diesel,Individual,Automatic,1,16.200,2993.000,235.000,5.000
35,BMW,2018,6000000,28156,Diesel,Dealer,Automatic,1,17.090,2993.000,261.400,4.000
37,BMW,2018,5500000,22000,Diesel,Individual,Automatic,1,17.090,2993.000,261.400,4.000
38,BMW,2018,6000000,27000,Diesel,Dealer,Automatic,1,17.090,2993.000,261.400,4.000
39,BMW,2018,5830000,30000,Diesel,Individual,Automatic,1,17.090,2993.000,261.400,4.000
41,BMW,2007,750000,60000,Diesel,Individual,Automatic,2,14.490,2993.000,258.000,5.000
42,BMW,2010,2000000,90000,Diesel,Individual,Automatic,2,14.490,2993.000,258.000,5.000
43,Maruti,2012,100000,51000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
44,Maruti,2000,80000,70000,Petrol,Individual,Manual,4,16.100,796.000,37.000,4.000
45,Maruti,2007,90000,90000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
46,Maruti,1999,55000,60000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
47,Maruti,1994,45000,60000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
48,Maruti,2000,45000,50000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
49,Maruti,2006,120000,40000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
50,Maruti,2011,100000,120000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
51,Maruti,2007,35000,10000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
52,Maruti,2002,60000,52365,Petrol,Dealer,Manual,2,16.100,796.000,37.000,4.000
53,Maruti,2008,60000,80000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
54,Maruti,2000,60000,100000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
55,Maruti,2008,65000,40000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
56,Maruti,2013,121000,50000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
57,Maruti,2007,75000,60000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
58,Maruti,2009,125000,80000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
59,Maruti,1999,80000,80000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
60,Maruti,2008,65000,10000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
61,Maruti,2005,40000,96000,Petrol,Individual,Manual,4,16.100,796.000,37.000,4.000
62,Maruti,1997,29999,80000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
63,Maruti,2000,65000,100000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
64,Maruti,2004,50000,50000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
65,Maruti,1997,50000,120000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
66,Maruti,1998,40000,70000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
67,Maruti,2007,45000,73257,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
68,Maruti,1999,80000,26320,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
69,Maruti,2006,50000,40000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
70,Maruti,1996,42000,70000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
71,Maruti,2002,45000,70000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
72,Maruti,1997,50000,60000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
73,Maruti,2006,155000,70000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
74,Maruti,2012,100000,30000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
76,Maruti,2005,45000,55425,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
77,Maruti,2008,75000,29000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
78,Maruti,1999,40000,100000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
79,Maruti,1998,35000,40000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
80,Maruti,1997,40000,120000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
81,Maruti,2004,55000,50000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
82,Maruti,2007,125000,60000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
83,Maruti,2009,130000,40000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
84,Maruti,2004,81000,80000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
85,Maruti,2002,120000,120000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
86,Maruti,2007,60000,62000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
87,Maruti,2013,157000,47200,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
88,Maruti,2004,120000,80000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
89,Maruti,2007,60000,100000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
91,Maruti,2008,70000,59400,Petrol,Individual,Manual,4,16.100,796.000,37.000,4.000
92,Maruti,2004,50000,18000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
93,Maruti,1999,52000,100000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
94,Maruti,1997,60000,25000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
95,Maruti,1998,45000,80000,Petrol,Individual,Manual,4,16.100,796.000,37.000,4.000
96,Maruti,1996,40000,32000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
97,Maruti,1998,70000,100000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
98,Maruti,1999,40000,50000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
99,Maruti,2001,75000,35000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
100,Maruti,2001,45000,5000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
101,Maruti,2004,70000,220000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
102,Maruti,2006,65000,120000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
103,Maruti,2003,55599,36088,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
105,Maruti,2012,150000,76000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
106,Maruti,1999,40000,40000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
107,Maruti,2006,81000,80000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
108,Maruti,2010,120000,70000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
109,Maruti,2002,40000,80000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
110,Maruti,2004,31504,110000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
111,Maruti,2006,114999,59000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
112,Maruti,2001,39000,42108,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
113,Maruti,1995,55000,70000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
114,Maruti,2002,50000,62000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
115,Maruti,2012,100000,70000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
116,Maruti,2004,40000,120000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
117,Maruti,1997,50000,110000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
118,Maruti,2007,45000,80000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
119,Maruti,2001,45000,60000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
120,Maruti,2000,31000,56194,Petrol,Individual,Manual,4,16.100,796.000,37.000,4.000
121,Maruti,2003,45000,58000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
122,Maruti,2004,40000,57000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
123,Maruti,2003,50000,50000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
125,Maruti,2003,35000,35000,Petrol,Individual,Manual,2,16.100,796.000,37.000,4.000
126,Maruti,2004,45000,77000,Petrol,Individual,Manual,3,16.100,796.000,37.000,4.000
127,Maruti,2004,75000,46000,Petrol,Individual,Manual,4,16.100,796.000,37.000,4.000
128,Maruti,2004,65000,56432,Petrol,Dealer,Manual,1,16.100,796.000,37.000,4.000
129,Maruti,2002,40000,80000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
130,Maruti,2003,45000,35000,Petrol,Individual,Manual,4,16.100,796.000,37.000,4.000
131,Maruti,2003,65000,90000,Petrol,Individual,Manual,4,16.100,796.000,37.000,4.000
132,Maruti,2003,42000,62000,Petrol,Individual,Manual,1,16.100,796.000,37.000,4.000
133,Maruti,2003,45000,90000,Petrol,Individual,Manual,4,16.100,796.000,37.000,4.000
134,Maruti,2010,60000,100000,Petrol,Individual,Manual,4,14.000,796.000,37.500,5.000
135,Maruti,2010,179000,68700,Petrol,Individual,Manual,3,19.000,998.000,66.100,5.000
136,Maruti,2010,235000,50000,Petrol,Individual,Manual,1,19.000,998.000,66.100,5.000
137,Maruti,2010,130000,162000,Petrol,Individual,Manual,2,19.000,998.000,66.100,5.000
138,Maruti,2010,200000,65000,Petrol,Individual,Manual,2,19.000,998.000,66.100,5.000
139,Maruti,2011,170000,70000,Petrol,Individual,Manual,3,19.000,998.000,66.100,5.000
140,Maruti,2012,275000,60000,Petrol,Individual,Manual,1,19.000,998.000,66.100,5.000
141,Maruti,2011,347000,30000,Petrol,Individual,Manual,1,19.000,998.000,66.100,5.000
142,Maruti,2009,175000,95000,Petrol,Individual,Manual,2,19.000,998.000,66.100,5.000
143,Maruti,2009,300000,60000,Petrol,Individual,Manual,1,19.000,998.000,66.100,5.000
144,Maruti,2009,130000,90000,Petrol,Individual,Manual,2,19.000,998.000,66.100,5.000
145,Maruti,2009,185000,50000,Petrol,Individual,Manual,1,19.000,998.000,66.100,5.000
146,Maruti,2011,204999,60000,Petrol,Individual,Manual,1,19.000,998.000,66.100,5.000
147,Maruti,2010,165000,66000,Petrol,Individual,Manual,2,19.000,998.000,66.100,5.000
148,Maruti,2014,250000,40000,Petrol,Individual,Manual,1,19.000,998.000,66.100,5.000
149,Maruti,2009,120000,140000,Petrol,Individual,Manual,3,19.000,998.000,66.100,5.000
151,Maruti,2011,220000,90000,Petrol,Individual,Manual,2,19.000,998.000,66.100,5.000
152,Maruti,2012,235000,98500,Petrol,Individual,Manual,2,19.000,998.000,66.100,5.000
153,Audi,2017,2600000,70000,Diesel,Individual,Automatic,1,20.380,1968.000,143.000,5.000
154,Audi,2018,3000000,20000,Diesel,Individual,Automatic,1,20.380,1968.000,143.000,5.000
155,Audi,2017,1689999,8000,Petrol,Dealer,Automatic,1,16.600,1798.000,177.500,5.000
156,Audi,2010,730000,55000,Petrol,Individual,Automatic,2,12.300,1781.000,163.200,5.000
157,Audi,2014,1600000,44000,Diesel,Individual,Automatic,2,16.550,1968.000,147.510,5.000
158,Audi,2014,1500000,60000,Diesel,Individual,Automatic,1,16.550,1968.000,147.510,5.000
159,Audi,2013,1200000,110000,Diesel,Individual,Automatic,1,17.110,1968.000,174.330,5.000
160,Audi,2015,1750000,37000,Diesel,Dealer,Automatic,1,18.250,1968.000,187.740,5.000
161,Audi,2018,2900000,15000,Diesel,Dealer,Automatic,1,18.250,1968.000,187.740,5.000
162,Audi,2016,1898999,46000,Diesel,Dealer,Automatic,1,18.250,1968.000,187.740,5.000
163,Audi,2016,2450000,30000,Diesel,Dealer,Automatic,1,18.250,1968.000,187.740,5.000
164,Audi,2014,2200000,60000,Diesel,Individual,Automatic,1,17.680,1968.000,174.330,5.000
165,Audi,2013,1689999,50000,Diesel,Dealer,Automatic,1,18.530,1968.000,187.740,5.000
166,Audi,2013,2000000,35000,Diesel,Individual,Automatic,2,17.680,1968.000,174.330,5.000
167,Audi,2013,1750000,33900,Diesel,Dealer,Automatic,2,17.680,1968.000,174.330,5.000
168,Hyundai,2005,100000,100000,Diesel,Individual,Manual,3,13.100,1493.000,82.000,5.000
169,Hyundai,2006,120000,90000,Diesel,Individual,Manual,2,13.100,1493.000,82.000,5.000
170,Hyundai,2005,130000,79000,Diesel,Individual,Manual,2,13.100,1493.000,82.000,5.000
171,Hyundai,2005,200000,200000,Diesel,Individual,Manual,2,13.100,1493.000,82.000,5.000
173,Hyundai,2003,108000,200000,Diesel,Individual,Manual,2,13.100,1493.000,82.000,5.000
174,Hyundai,2011,250000,35000,Petrol,Individual,Manual,1,16.360,1495.000,93.700,5.000
175,Hyundai,2011,180000,70000,Petrol,Individual,Manual,1,16.360,1495.000,93.700,5.000
176,Hyundai,2012,225000,109322,Petrol,Individual,Manual,2,16.360,1495.000,93.700,5.000
177,Hyundai,2011,170000,62000,Petrol,Individual,Manual,3,16.360,1495.000,93.700,5.000
178,Hyundai,2013,172000,120000,Petrol,Individual,Manual,1,16.360,1495.000,93.700,5.000
179,Hyundai,2007,80000,120000,Petrol,Individual,Manual,2,13.200,1495.000,94.000,5.000
180,Hyundai,2008,114999,95200,Petrol,Individual,Manual,3,13.200,1495.000,94.000,5.000
181,Hyundai,2004,80000,120000,Petrol,Individual,Manual,2,13.200,1495.000,94.000,5.000
182,Hyundai,2005,150000,120000,Petrol,Individual,Manual,1,13.200,1495.000,94.000,5.000
183,Hyundai,2009,120000,70000,Petrol,Individual,Manual,2,13.200,1495.000,94.000,5.000
184,Hyundai,2005,80500,50000,Petrol,Individual,Manual,3,13.200,1495.000,94.000,5.000
185,Hyundai,2003,59000,70000,Petrol,Individual,Manual,2,13.200,1495.000,94.000,5.000
186,Hyundai,2009,180000,87000,Petrol,Individual,Manual,2,13.200,1495.000,94.000,5.000
187,Hyundai,2002,55000,120000,Petrol,Individual,Manual,4,13.200,1495.000,94.000,5.000
188,Hyundai,2009,150000,70000,Petrol,Individual,Manual,3,13.200,1495.000,94.000,5.000
189,Hyundai,2004,110000,120000,Petrol,Individual,Manual,4,14.400,1599.000,94.000,5.000
190,Hyundai,2006,110000,140000,Petrol,Individual,Manual,2,14.400,1599.000,94.000,5.000
191,Hyundai,2004,110000,110000,Petrol,Individual,Manual,2,14.400,1599.000,94.000,5.000
192,Hyundai,2003,80000,40000,Petrol,Individual,Manual,2,14.400,1599.000,94.000,5.000
193,Hyundai,2003,110000,90000,Petrol,Individual,Manual,2,13.200,1495.000,94.000,5.000
195,Hyundai,2004,170000,160000,Diesel,Individual,Manual,3,13.100,1493.000,82.000,5.000
196,Hyundai,2003,145000,120000,Diesel,Individual,Manual,4,13.100,1493.000,82.000,5.000
197,Honda,2013,580000,50000,Petrol,Dealer,Automatic,1,11.700,2354.000,177.600,5.000
198,Honda,2009,400000,100000,Petrol,Individual,Automatic,2,11.700,2354.000,177.600,5.000
199,Honda,2012,600000,144030,Petrol,Individual,Manual,1,12.800,2354.000,177.600,5.000
200,Honda,2010,300000,74000,Petrol,Individual,Manual,2,12.800,2354.000,177.600,5.000
201,Honda,2004,275000,100000,Petrol,Individual,Automatic,2,9.000,2997.000,218.000,5.000
202,Honda,2005,285000,80000,Petrol,Individual,Automatic,2,9.000,2997.000,218.000,5.000
203,Honda,2006,200000,60000,Petrol,Individual,Manual,3,11.900,2354.000,144.000,5.000
204,Maruti,2014,185000,10300,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
205,Maruti,2016,220000,40000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
206,Maruti,2015,210000,50000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
207,Maruti,2015,170000,20000,Petrol,Individual,Manual,3,22.740,796.000,47.300,5.000
208,Maruti,2015,280000,28000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
209,Maruti,2013,200000,90000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
210,Maruti,2014,196000,60000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
211,Maruti,2017,282000,15000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
212,Maruti,2016,290000,15000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
213,Maruti,2013,160000,70000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
215,Maruti,2017,250000,42000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
216,Maruti,2017,275000,28000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
217,Maruti,2018,270000,20000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
218,Maruti,2015,245000,40000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
219,Maruti,2014,250000,25000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
220,Maruti,2015,236000,60000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
221,Maruti,2013,200000,24000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
222,Maruti,2015,241000,15000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
223,Maruti,2015,235000,20000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
224,Maruti,2014,204999,15000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
225,Maruti,2016,305000,60000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
226,Maruti,2014,235000,50000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
227,Maruti,2017,300000,50000,Petrol,Individual,Manual,2,24.700,796.000,47.300,5.000
228,Maruti,2016,300000,40000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
229,Maruti,2014,200000,43381,Petrol,Dealer,Manual,2,22.740,796.000,47.300,5.000
230,Maruti,2014,250000,40000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
231,Maruti,2016,260000,65000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
232,Maruti,2015,220000,40000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
233,Maruti,2016,310000,15000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
234,Maruti,2016,240000,50000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
235,Maruti,2014,180000,55000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
236,Maruti,2016,245000,50000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
237,Maruti,2012,254999,30000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
238,Maruti,2015,270000,49900,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
239,Maruti,2013,200000,50000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
240,Maruti,2012,220000,100000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
241,Maruti,2015,280000,80000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
242,Maruti,2016,225000,35000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
243,Maruti,2015,275000,16700,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
244,Maruti,2017,275000,58000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
245,Maruti,2017,310000,20000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
246,Maruti,2013,185000,80000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
247,Maruti,2016,270000,60000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
248,Maruti,2012,180000,80000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
249,Maruti,2014,267000,40000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
250,Maruti,2018,308000,15000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
251,Maruti,2017,285000,25000,Petrol,Individual,Manual,2,24.700,796.000,47.300,5.000
252,Maruti,2013,235000,52000,Petrol,Dealer,Manual,1,24.700,796.000,47.300,5.000
253,Maruti,2020,350000,5000,Petrol,Individual,Manual,1,22.050,796.000,47.300,5.000
254,Maruti,2016,250000,20000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
255,Maruti,2017,310000,15000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
256,Maruti,2016,300000,25000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
257,Maruti,2015,310000,18000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
258,Maruti,2018,310000,30000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
259,Maruti,2013,215000,35000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
260,Maruti,2013,170000,60000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
261,Maruti,2014,250000,20000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
262,Maruti,2016,300000,5000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
263,Maruti,2014,250000,40000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
264,Maruti,2017,300000,80000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
265,Maruti,2018,310000,13000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
267,Maruti,2016,270000,35000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
268,Maruti,2015,300000,50000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
270,Maruti,2016,315000,25000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
271,Maruti,2013,270000,60000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
272,Maruti,2012,200000,38000,Petrol,Dealer,Manual,2,24.700,796.000,47.300,5.000
273,Maruti,2017,310000,35000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
276,Maruti,2015,245000,36710,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
277,Maruti,2013,185000,85000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
278,Maruti,2013,210000,50000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
279,Maruti,2017,290000,90000,Petrol,Individual,Manual,2,24.700,796.000,47.300,5.000
280,Maruti,2015,250000,26500,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
281,Maruti,2015,270000,22000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
282,Maruti,2014,206000,120000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
283,Maruti,2018,350000,44000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
284,Maruti,2017,300000,27000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
285,Maruti,2014,200000,40000,Petrol,Individual,Manual,3,22.740,796.000,47.300,5.000
286,Maruti,2014,190000,70000,Petrol,Individual,Manual,3,22.740,796.000,47.300,5.000
288,Maruti,2015,260000,25000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
289,Maruti,2017,254000,40000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
290,Maruti,2016,240000,35000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
291,Maruti,2017,295000,15000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
292,Maruti,2013,235000,18000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
293,Maruti,2017,310000,54000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
294,Maruti,2018,300000,30000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
296,Maruti,2016,252000,30000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
297,Maruti,2017,270000,35000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
298,Maruti,2013,190000,60000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
299,Maruti,2015,250000,70000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
300,Maruti,2013,190000,60000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
301,Maruti,2014,240000,50000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
302,Maruti,2016,275000,38000,Petrol,Dealer,Manual,1,24.700,796.000,47.300,5.000
304,Maruti,2016,250000,50000,Petrol,Individual,Manual,2,24.700,796.000,47.300,5.000
305,Maruti,2016,300000,38000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
306,Maruti,2017,316000,25000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
307,Maruti,2018,310000,20000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
308,Maruti,2016,240000,50000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
309,Maruti,2017,268000,25000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
310,Maruti,2016,270000,50000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
311,Maruti,2015,270000,53000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
312,Maruti,2017,310000,35000,Petrol,Individual,Manual,2,24.700,796.000,47.300,5.000
313,Maruti,2014,240000,50000,Petrol,Individual,Manual,1,22.740,796.000,47.300,5.000
314,Maruti,2016,300000,50000,Petrol,Individual,Manual,2,22.740,796.000,47.300,5.000
315,Maruti,2017,295000,35000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
316,Maruti,2013,170000,60000,Petrol,Individual,Manual,4,22.740,796.000,47.300,5.000
317,Maruti,2017,310000,35000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
318,Maruti,2018,310000,10000,Petrol,Individual,Manual,1,24.700,796.000,47.300,5.000
